DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/12/2016,14:10,MANHATTAN,10013,40.7256734,-74.0057798,"(40.725673, -74.00578)",VARICK STREET,SPRING STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405175,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/13/2016,18:30,MANHATTAN,10007,40.7152372,-74.0133794,"(40.715237, -74.013379)",WEST STREET,MURRAY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405176,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2016,10:50,MANHATTAN,10038,40.706408,-74.004559,"(40.706408, -74.004559)",JOHN STREET,FRONT STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405177,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
03/14/2016,10:20,,,,,,WATER STREET,FULTON STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405178,PASSENGER VEHICLE,,,,
03/14/2016,14:30,MANHATTAN,10005,40.7044701,-74.0062901,"(40.70447, -74.00629)",,,120 WALL STREET,0,0,0,0,0,0,0,0,,,,,,3405179,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2016,9:20,,,,,,BARCLAY STREET,GREENWICH STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405180,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2016,10:30,MANHATTAN,10013,40.7242759,-74.0113536,"(40.724276, -74.011354)",WEST STREET,WATTS STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405181,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2016,23:05,MANHATTAN,10007,40.7149466,-74.0096819,"(40.714947, -74.009682)",WARREN STREET,WEST BROADWAY,,1,0,1,0,0,0,0,0,Pavement Slippery,,,,,3405182,PASSENGER VEHICLE,,,,
03/14/2016,8:00,MANHATTAN,10013,40.7193963,-74.0018831,"(40.719396, -74.001883)",CANAL STREET,BROADWAY,,0,0,0,0,0,0,0,0,,,,,,3405183,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2016,11:10,MANHATTAN,10007,40.7144796,-74.013556,"(40.71448, -74.013556)",WEST STREET,BARCLAY STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405184,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/15/2016,0:20,MANHATTAN,10007,40.7149276,-74.0079396,"(40.714928, -74.00794)",CHAMBERS STREET,CHURCH STREET,,0,0,0,0,0,0,0,0,Prescription Medication,Prescription Medication,,,,3405185,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2016,12:26,,,,,,CANAL STREET,HUDSON STREET,,0,0,0,0,0,0,0,0,Prescription Medication,Prescription Medication,,,,3405186,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/14/2016,9:00,MANHATTAN,10013,40.7223244,-74.0117465,"(40.722324, -74.011746)",WEST STREET,LAIGHT STREET,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,3405187,PASSENGER VEHICLE,VAN,,,
03/14/2016,12:49,MANHATTAN,10013,40.7213532,-74.0046358,"(40.721353, -74.004636)",CANAL STREET,WEST BROADWAY,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405188,PASSENGER VEHICLE,,,,
03/14/2016,13:07,MANHATTAN,10013,40.7264365,-74.0056572,"(40.726437, -74.005657)",VANDAM STREET,VARICK STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3405189,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/15/2016,8:04,MANHATTAN,10006,40.7076833,-74.0156791,"(40.707683, -74.015679)",WEST STREET,WEST THAMES STREET,,0,0,0,0,0,0,0,0,,,,,,3405190,PASSENGER VEHICLE,,,,
03/14/2016,13:18,MANHATTAN,10006,40.7098381,-74.0148211,"(40.709838, -74.014821)",WEST STREET,ALBANY STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3405191,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/15/2016,14:00,MANHATTAN,10004,40.7035777,-74.0115954,"(40.703578, -74.011595)",BROAD STREET,BRIDGE STREET,,0,0,0,0,0,0,0,0,,,,,,3405192,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
03/15/2016,9:00,MANHATTAN,10007,40.7130557,-74.0072251,"(40.713056, -74.007225)",BROADWAY,MURRAY STREET,,0,0,0,0,0,0,0,0,,,,,,3405193,PASSENGER VEHICLE,,,,
03/14/2016,21:30,MANHATTAN,10012,40.7252508,-74.0033769,"(40.725251, -74.003377)",SULLIVAN STREET,SPRING STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405194,PASSENGER VEHICLE,BICYCLE,,,
03/16/2016,1:05,MANHATTAN,10013,40.7199041,-74.002601,"(40.719904, -74.002601)",CANAL STREET,MERCER STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405195,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
